name,country,lat,lon,population,,,
Shanghai,CN,31.22222,121.45806,14608512,,,
Buenos Aires,AR,-34.61315,-58.37723,13076300,,,
Dhaka,BD,23.7104,90.40744,10356500,,,
São Paulo,BR,-23.5475,-46.63611,10021295,,,
Jakarta,ID,-6.21462,106.84513,8540121,,,
Zhumadian,CN,32.97944,114.02944,8263100,,,
Kinshasa,CD,-4.32142,15.30807,7785965,,,
Cairo,EG,30.06263,31.24967,7734614,,,
Bogotá,CO,4.60971,-74.08175,7674366,,,
City of London,GB,51.51279,-0.09184,7556900,,,
London,GB,51.50853,-0.12574,7556900,,,
Beijing,CN,39.9075,116.39723,7480601,,,
Nanchong,CN,30.79508,106.08474,7150000,,,
Hong Kong,HK,22.28552,114.15769,7012738,,,
Rio de Janeiro,BR,-22.90278,-43.2075,6023699,,,
Tai’an,CN,36.18528,117.12,5499000,,,
Yueyang,CN,29.37455,113.09481,5000000,,,
Santiago,CL,-33.45694,-70.64827,4837295,,,
Kaifeng,CN,34.7986,114.30742,4800000,,,
Sydney,AU,-33.86785,151.20732,4627345,,,
Toronto,CA,43.70011,-79.4163,4612191,,,
Melbourne,AU,-37.814,144.96332,4246375,,,
Wuhan,CN,30.58333,114.26667,4184206,,,
Chongqing,CN,29.56278,106.55278,3967028,,,
Chengdu,CN,30.66667,104.06667,3950437,,,
Chittagong,BD,22.3384,91.83168,3920222,,,
Alexandria,EG,31.21564,29.95527,3811516,,,
Tianjin,CN,39.14222,117.17667,3766207,,,
Abidjan,CI,5.30966,-4.01266,3677115,,,
Puyang,CN,29.45679,119.88872,3590000,,,
Shenyang,CN,41.79222,123.43278,3512192,,,
Tianshui,CN,34.57952,105.74238,3500000,,,
Shiyan,CN,32.6475,110.77806,3460000,,,
Berlin,DE,52.52437,13.41053,3426354,,,
Montréal,CA,45.50884,-73.58781,3268513,,,
Madrid,ES,40.4165,-3.70256,3255944,,,
Harbin,CN,45.75,126.65,3229883,,,
Xi’an,CN,34.25833,108.92861,3225812,,,
Lanzhou,CN,36.05701,103.83987,3200000,,,
Guangzhou,CN,23.11667,113.25,3152825,,,
Nanjing,CN,32.06167,118.77778,3087010,,,
Kabul,AF,34.52813,69.17233,3043532,,,
Shenzhen,CN,22.54554,114.0683,3000000,,,
Luanda,AO,-8.83682,13.23432,2776168,,,
Addis Ababa,ET,9.02497,38.74689,2757729,,,
Taiyuan,CN,37.86944,112.56028,2722475,,,
Salvador,BR,-12.97111,-38.51083,2711840,,,
Yunfu,CN,22.92832,112.03954,2612800,,,
Changchun,CN,43.88,125.32278,2537421,,,
Zhongshan,CN,21.31992,110.5723,2493400,,,
Al Jīzah,EG,30.00808,31.21093,2443203,,,
Fortaleza,BR,-3.71722,-38.54306,2400000,,,
Cali,CO,3.43722,-76.5225,2392877,,,
Surabaya,ID,-7.24917,112.75083,2374658,,,
Belo Horizonte,BR,-19.92083,-43.93778,2373224,,,
Brasília,BR,-15.77972,-47.92972,2207718,,,
Santo Domingo,DO,18.50012,-69.98857,2201941,,,
Brisbane,AU,-27.46794,153.02809,2189878,,,
Havana,CU,23.13302,-82.38304,2163824,,,
Paris,FR,48.85341,2.3488,2138551,,,
Changsha,CN,28.19874,112.97087,2073938,,,
Jinan,CN,36.66833,116.99722,2069266,,,
Dalian,CN,38.91222,121.60222,2035307,,,
Kowloon,HK,22.31667,114.18333,2019533,,,
Zhengzhou,CN,34.75778,113.64861,2014125,,,
Medellín,CO,6.25184,-75.56359,1999979,,,
Shijiazhuang,CN,38.04139,114.47861,1992474,,,
Algiers,DZ,36.7525,3.04197,1977663,,,
Accra,GH,5.55602,-0.1969,1963264,,,
Guayaquil,EC,-2.20584,-79.90795,1952029,,,
Ordos,CN,39.6086,109.78157,1940653,,,
Perth,AU,-31.95224,115.8614,1896548,,,
Jilin,CN,43.85083,126.56028,1881977,,,
Hangzhou,CN,30.29365,120.16142,1878129,,,
Nanchang,CN,28.68333,115.88333,1871351,,,
Camayenne,GN,9.535,-13.68778,1871242,,,
Vancouver,CA,49.24966,-123.11934,1837969,,,
Conakry,GN,9.53795,-13.67729,1767200,,,
Medan,ID,3.58333,98.66667,1750971,,,
Minsk,BY,53.9,27.56667,1742124,,,
Budapest,HU,47.49801,19.03991,1741041,,,
Hamburg,DE,53.57532,10.01534,1739117,,,
Curitiba,BR,-25.42778,-49.27306,1718421,,,
Bandung,ID,-6.90389,107.61861,1699719,,,
Vienna,AT,48.20849,16.37208,1691468,,,
Qingdao,CN,36.09861,120.37194,1642245,,,
Barcelona,ES,41.38879,2.15899,1621537,,,
Manaus,BR,-3.10194,-60.025,1598210,,,
Tangshan,CN,39.63333,118.18333,1596949,,,
Xinyang,CN,32.12278,114.06556,1590668,,,
Bekasi,ID,-6.2349,106.9896,1520119,,,
Ürümqi,CN,43.80096,87.60046,1508225,,,
Recife,BR,-8.05389,-34.88111,1478098,,,
Kumasi,GH,6.68848,-1.62443,1468609,,,
Palembang,ID,-2.91673,104.7458,1441500,,,
Córdoba,AR,-31.4135,-64.18105,1428214,,,
Belém,BR,-1.45583,-48.50444,1407737,,,
Fushun,CN,41.85583,123.92333,1400646,,,
Quito,EC,-0.22985,-78.52495,1399814,,,
Luoyang,CN,34.68361,112.45361,1390581,,,
Hefei,CN,31.86389,117.28083,1388904,,,
Barranquilla,CO,10.96854,-74.78132,1380425,,,
Guankou,CN,28.15861,113.62709,1380000,,,
Lubumbashi,CD,-11.66089,27.47938,1373770,,,
Porto Alegre,BR,-30.03306,-51.23,1372741,,,
Tangerang,ID,-6.17806,106.63,1372124,,,
Santa Cruz de la Sierra,BO,-17.78629,-63.18117,1364389,,,
Handan,CN,36.60056,114.46778,1358318,,,
Suzhou,CN,31.30408,120.59538,1343091,,,
Khulna,BD,22.80978,89.56439,1342339,,,
Douala,CM,4.04827,9.70428,1338082,,,
Shantou,CN,23.36814,116.71479,1333973,,,
Makassar,ID,-5.14,119.4221,1321717,,,
Baotou,CN,40.65222,109.82222,1301768,,,
Yaoundé,CM,3.86667,11.51667,1299369,,,
Semarang,ID,-6.9932,110.4203,1288084,,,
Brazzaville,CG,-4.26613,15.28318,1284609,,,
München,DE,48.13743,11.57549,1260391,,,
Port-au-Prince,HT,18.53917,-72.335,1234742,,,
Adelaide,AU,-34.92866,138.59863,1225235,,,
Santiago de los Caballeros,DO,19.4517,-70.69703,1200000,,,
Anshan,CN,41.12361,122.99,1199275,,,
Tongshan,CN,34.18045,117.15707,1199193,,,
Depok,ID,-6.4,106.81861,1198129,,,
Fuzhou,CN,26.06139,119.30611,1179720,,,
Rosario,AR,-32.94682,-60.63932,1173533,,,
Guiyang,CN,26.58333,106.71667,1171633,,,
Goiânia,BR,-16.67861,-49.25389,1171195,,,
Guarulhos,BR,-23.46278,-46.53333,1169577,,,
Prague,CZ,50.08804,14.42076,1165581,,,
Copenhagen,DK,55.67594,12.56553,1153615,,,
Sofia,BG,42.69751,23.32415,1152556,,,
Dayan,CN,26.86879,100.22072,1137600,,,
Dubai,AE,25.25817,55.30472,1137347,,,
Baku,AZ,40.37767,49.89201,1116513,,,
Wuxi,CN,31.56887,120.28857,1108647,,,
Yerevan,AM,40.18111,44.51361,1093485,,,
Ouagadougou,BF,12.36566,-1.53388,1086505,,,
Datong,CN,40.09361,113.29139,1052678,,,
Tbilisi,GE,41.69411,44.83368,1049498,,,
Changshu City,CN,31.64615,120.74221,1047700,,,
Xianyang,CN,34.33778,108.70261,1034081,,,
Campinas,BR,-22.90556,-47.06083,1031554,,,
